Kode;KabKota;Komponen;Provinsi;2010;2011;2012;2013;2014;2015;2016;2017;2018
1100;ACEH;AHH;ACEH;69,08;69,15;69,23;69,31;69,35;69,50;69,51;69,52;69,64
1101;Simeulue;AHH;ACEH;64,05;64,15;64,22;64,23;64,24;64,66;64,78;64,90;65,00
1102;Aceh Singkil;AHH;ACEH;66,71;66,76;66,85;66,91;66,94;66,97;67,02;67,07;67,16
1103;Aceh Selatan;AHH;ACEH;62,92;63,03;63,12;63,16;63,18;63,61;63,75;63,89;64,02
1104;Aceh Tenggara;AHH;ACEH;66,85;66,93;66,96;67,03;67,07;67,40;67,51;67,62;67,77
1105;Aceh Timur;AHH;ACEH;67,92;67,97;68,02;68,05;68,06;68,20;68,26;68,33;68,44
1106;Aceh Tengah;AHH;ACEH;68,22;68,27;68,30;68,35;68,38;68,44;68,48;68,53;68,62
1107;Aceh Barat;AHH;ACEH;67,16;67,21;67,25;67,30;67,33;67,49;67,56;67,62;67,72
1108;Aceh Besar;AHH;ACEH;69,34;69,38;69,41;69,44;69,46;69,47;69,49;69,52;69,59
1109;Piddie;AHH;ACEH;66,14;66,20;66,25;66,27;66,28;66,46;66,52;66,58;66,68
1110;Bireuen;AHH;ACEH;70,27;70,30;70,32;70,34;70,35;70,64;70,72;70,80;70,92
1111;Aceh Utara;AHH;ACEH;68,32;68,36;68,40;68,41;68,42;68,48;68,51;68,54;68,61
1112;Aceh Barat Daya;AHH;ACEH;63,44;63,55;63,63;63,69;63,72;64,20;64,35;64,51;64,65
1113;Gayo Lues;AHH;ACEH;64,24;64,31;64,38;64,42;64,44;64,77;64,88;64,98;65,12
1114;Aceh Tamiang;AHH;ACEH;68,57;68,61;68,65;68,66;68,67;68,99;69,08;69,16;69,28
1115;Nagan Raya;AHH;ACEH;68,17;68,24;68,26;68,28;68,29;68,59;68,67;68,76;68,89
1116;Aceh Jaya;AHH;ACEH;66,29;66,35;66,39;66,45;66,48;66,63;66,70;66,77;66,88
1117;Bener Meriah;AHH;ACEH;68,51;68,56;68,58;68,62;68,64;68,79;68,85;68,90;68,99
1118;Pidie Jaya;AHH;ACEH;69,01;69,05;69,07;69,11;69,13;69,49;69,59;69,68;69,81
1171;Kota Banda Aceh;AHH;ACEH;70,71;70,74;70,76;70,79;70,80;70,89;70,92;70,96;71,10
1172;Kota Sabang;AHH;ACEH;69,52;69,54;69,54;69,54;69,54;69,93;70,01;70,09;70,21
1173;Kota Langsa;AHH;ACEH;68,65;68,70;68,75;68,78;68,79;68,94;69,00;69,06;69,16
1174;Kota Lhokseumawe;AHH;ACEH;70,53;70,57;70,59;70,61;70,62;70,96;71,05;71,14;71,27
1175;Kota Subulussalam;AHH;ACEH;62,59;62,66;62,83;62,86;62,87;63,27;63,42;63,56;63,69
1200;SUMATERA UTARA;AHH;SUMATERA UTARA;67,46;67,63;67,81;67,94;68,04;68,29;68,33;68,37;68,61
1201;Nias;AHH;SUMATERA UTARA;68,45;68,58;68,69;68,77;68,87;68,97;69,07;69,18;69,43
1202;Mandailing Natal;AHH;SUMATERA UTARA;60,60;60,77;60,95;61,08;61,18;61,58;61,77;61,97;62,24
1203;Tapanuli Selatan;AHH;SUMATERA UTARA;62,42;62,64;62,87;63,04;63,14;63,74;64,01;64,28;64,55
1204;Tapanuli Tengah;AHH;SUMATERA UTARA;66,43;66,45;66,46;66,47;66,49;66,59;66,62;66,66;66,82
1205;Tapanuli Utara;AHH;SUMATERA UTARA;66,76;66,91;67,05;67,15;67,25;67,55;67,71;67,86;68,11
1206;Toba Samosir;AHH;SUMATERA UTARA;68,59;68,72;68,86;68,94;69,04;69,14;69,25;69,36;69,59
1207;Labuhan Batu;AHH;SUMATERA UTARA;69,16;69,19;69,22;69,24;69,26;69,36;69,40;69,44;69,60
1208;Asahan;AHH;SUMATERA UTARA;66,85;66,98;67,10;67,17;67,27;67,37;67,47;67,57;67,79
1209;Simalungun;AHH;SUMATERA UTARA;69,87;69,98;70,08;70,14;70,24;70,34;70,43;70,53;70,75
1210;Dairi;AHH;SUMATERA UTARA;66,92;67,09;67,26;67,38;67,48;67,78;67,95;68,13;68,41
1211;Karo;AHH;SUMATERA UTARA;70,29;70,32;70,34;70,38;70,42;70,62;70,69;70,77;70,97
1212;Deli Serdang;AHH;SUMATERA UTARA;70,74;70,75;70,76;70,78;70,80;71,00;71,06;71,11;71,31
1213;Langkat;AHH;SUMATERA UTARA;66,86;67,00;67,14;67,23;67,33;67,63;67,79;67,94;68,22
1214;Nias Selatan;AHH;SUMATERA UTARA;66,82;66,91;67,01;67,06;67,16;67,66;67,83;68,00;68,24
1215;Humbang Hasundutan;AHH;SUMATERA UTARA;67,42;67,52;67,63;67,70;67,80;68,10;68,26;68,41;68,69
1216;Pakpak Barat;AHH;SUMATERA UTARA;64,35;64,37;64,39;64,42;64,45;64,85;64,95;65,05;65,27
1217;Samosir;AHH;SUMATERA UTARA;69,23;69,36;69,48;69,56;69,66;70,26;70,47;70,68;70,87
1218;Serdang Bedegai;AHH;SUMATERA UTARA;66,66;66,84;67,03;67,17;67,27;67,47;67,63;67,79;68,08
1219;Batu Bara;AHH;SUMATERA UTARA;65,06;65,19;65,32;65,40;65,50;65,80;65,95;66,10;66,38
1220;Padang Lawas Utara;AHH;SUMATERA UTARA;66,31;66,33;66,36;66,38;66,40;66,50;66,54;66,58;66,77
1221;Padang Lawas;AHH;SUMATERA UTARA;65,84;65,89;65,93;65,97;66,01;66,31;66,40;66,50;66,69
1222;Labuhan Batu Selatan;AHH;SUMATERA UTARA;67,97;67,99;68,01;68,03;68,06;68,09;68,11;68,14;68,39
1223;Labuhan Batu Utara;AHH;SUMATERA UTARA;68,17;68,27;68,36;68,40;68,50;68,70;68,80;68,91;69,09
1224;Nias Utara;AHH;SUMATERA UTARA;;68,23;68,33;68,39;68,49;68,59;68,68;68,77;68,98
1225;Nias Barat;AHH;SUMATERA UTARA;;67,31;67,44;67,54;67,64;67,94;68,10;68,28;68,50
