Kecamatan,Bulan,Tahun,Jml_curah_hujan,Jml_hari_hujan
Magelang Tengah,Januari,2019,875,28
Magelang Tengah,Februari,2019,437,23
Magelang Tengah,Maret,2019,328,22
Magelang Tengah,April,2019,318,17
Magelang Tengah,Mei,2019,42,5
Magelang Tengah,Juni,2019,0,0
Magelang Tengah,Juli,2019,0,0
Magelang Tengah,Agustus,2019,0,0
Magelang Tengah,September,2019,0,0
Magelang Tengah,Oktober,2019,3,2
Magelang Tengah,November,2019,211,11
Magelang Tengah,Desember,2019,379,20
Magelang Utara,Januari,2019,875,28
Magelang Utara,Februari,2019,437,23
Magelang Utara,Maret,2019,328,22
Magelang Utara,April,2019,318,17
Magelang Utara,Mei,2019,42,5
Magelang Utara,Juni,2019,0,0
Magelang Utara,Juli,2019,0,0
Magelang Utara,Agustus,2019,0,0
Magelang Utara,September,2019,0,0
Magelang Utara,Oktober,2019,3,2
Magelang Utara,November,2019,211,11
Magelang Utara,Desember,2019,379,20
Magelang Selatan,Januari,2019,875,28
Magelang Selatan,Februari,2019,437,23
Magelang Selatan,Maret,2019,328,22
Magelang Selatan,April,2019,318,17
Magelang Selatan,Mei,2019,42,5
Magelang Selatan,Juni,2019,0,0
Magelang Selatan,Juli,2019,0,0
Magelang Selatan,Agustus,2019,0,0
Magelang Selatan,September,2019,0,0
Magelang Selatan,Oktober,2019,3,2
Magelang Selatan,November,2019,211,11
Magelang Selatan,Desember,2019,379,20
Magelang Tengah,Januari,2020,503,21
Magelang Tengah,Februari,2020,422,21
Magelang Tengah,Maret,2020,209.4,23
Magelang Tengah,April,2020,301,20
Magelang Tengah,Mei,2020,180,12
Magelang Tengah,Juni,2020,60,3
Magelang Tengah,Juli,2020,21,2
Magelang Tengah,Agustus,2020,58.5,4
Magelang Tengah,September,2020,121.5,
Magelang Tengah,Oktober,2020,306,19
Magelang Tengah,November,2020,481,23
Magelang Tengah,Desember,2020,515,24
Magelang Utara,Januari,2020,503,21
Magelang Utara,Februari,2020,422,21
Magelang Utara,Maret,2020,209.4,23
Magelang Utara,April,2020,301,20
Magelang Utara,Mei,2020,180,12
Magelang Utara,Juni,2020,60,3
Magelang Utara,Juli,2020,21,2
Magelang Utara,Agustus,2020,58.5,4
Magelang Utara,September,2020,121.5,
Magelang Utara,Oktober,2020,306,19
Magelang Utara,November,2020,481,23
Magelang Utara,Desember,2020,515,24
Magelang Selatan,Januari,2020,503,21
Magelang Selatan,Februari,2020,422,21
Magelang Selatan,Maret,2020,209.4,23
Magelang Selatan,April,2020,301,20
Magelang Selatan,Mei,2020,180,12
Magelang Selatan,Juni,2020,60,3
Magelang Selatan,Juli,2020,21,2
Magelang Selatan,Agustus,2020,58.5,4
Magelang Selatan,September,2020,121.5,
Magelang Selatan,Oktober,2020,306,19
Magelang Selatan,November,2020,481,23
Magelang Selatan,Desember,2020,515,24
Magelang Tengah,Januari,2022,552,22
Magelang Tengah,Februari,2022,328.4,24
Magelang Tengah,Maret,2022,432.7,28
Magelang Tengah,April,2022,336.1,21
Magelang Tengah,Mei,2022,343,15
Magelang Tengah,Juni,2022,184,17
Magelang Tengah,Juli,2022,43.5,6
Magelang Tengah,Agustus,2022,64.5,5
Magelang Tengah,September,2022,154.5,8
Magelang Tengah,Oktober,2022,386.5,26
Magelang Tengah,November,2022,445.5,20
Magelang Tengah,Desember,2022,610.5,24
Magelang Utara,Januari,2022,552,22
Magelang Utara,Februari,2022,328.4,24
Magelang Utara,Maret,2022,432.7,28
Magelang Utara,April,2022,336.1,21
Magelang Utara,Mei,2022,343,15
Magelang Utara,Juni,2022,184,17
Magelang Utara,Juli,2022,43.5,6
Magelang Utara,Agustus,2022,64.5,5
Magelang Utara,September,2022,154.5,8
Magelang Utara,Oktober,2022,386.5,26
Magelang Utara,November,2022,445.5,20
Magelang Utara,Desember,2022,610.5,24
Magelang Selatan,Januari,2022,552,22
Magelang Selatan,Februari,2022,328.4,24
Magelang Selatan,Maret,2022,432.7,28
Magelang Selatan,April,2022,336.1,21
Magelang Selatan,Mei,2022,343,15
Magelang Selatan,Juni,2022,184,17
Magelang Selatan,Juli,2022,43.5,6
Magelang Selatan,Agustus,2022,64.5,5
Magelang Selatan,September,2022,154.5,8
Magelang Selatan,Oktober,2022,386.5,26
Magelang Selatan,November,2022,445.5,20
Magelang Selatan,Desember,2022,610.5,24
